index	sentence	label
20188727.T21.T43	Phenformin but not metformin inhibits a number of variants of @CHEMICAL$(ATP) including the cloned equivalents of currents present in vascular and non-vascular smooth muscle (Kir6.1/SUR2B and Kir6.2/SUR2B) and pancreatic beta-cells (Kir6.2/@GENE$).	false
23608737.T16.T25	To examine receptor mediation of estradiol effects, Ovx mice replaced for 2 days with either the ERa-selective agonist PPT or the @CHEMICAL$-selective agonist @GENE$ were compared to Sham mice, and mice lacking either ERa (aERKO) or ERb (bERKO) were compared to WT littermates.	CPR:5
23386029.T3.T13	@CHEMICAL$ (1) reduced the pro-inflammatory factor such as nitric oxide (NO), prostaglandin E2 (PGE2) and @GENE$ (IL-1b).	CPR:4
23479738.T5.T37	In this setting, @CHEMICAL$ (10 mm) effectively blocked the @GENE$-mediated regeneration of oxidized Prx1.	CPR:4
9476974.T28.T47	Monoamine uptake inhibitors structurally analogous to cocaine (cocaethylene, CFT, betaCIT, CPT, (+)-cocaine, norcocaine, and benztropine) also produced this rapid pressor response, whereas structurally unrelated uptake inhibitors with diverse @CHEMICAL$ selectivities (BTCP, indatraline, GBR 12935, @GENE$, nomifensine, and zimeldine) either did not produce a rapid pressor response or produced only a small pressor response.	CPR:4
15985706.T7.T33	Using [(3)H]glucosamine-labeled gastric mucosal cells, we show that stimulatory effect of beta-adrenergic agonist, isoproterenol, on mucin secretion was inhibited by EGFR kinase inhibitor, PD153035, as well as @CHEMICAL$, a specific inhibitor of @GENE$. Both inhibitors, moreover, blunted the mucin secretory responses to beta-adrenergic agonist-generated second messenger, cAMP as well as adenylate cyclase activator, forskolin.	CPR:4
15060759.T25.T36	To verify the hypothesis that the non-conventional partial agonist @CHEMICAL$ binds at two @GENE$ sites, human beta(1)-adrenoceptors, expressed in CHO cells, were labelled with (-)-[(3)H]-CGP12177.	CPR:5
16245075.T9.T23	Effects of granulocyte colony-stimulating factor (@CHEMICAL$) and neutrophil elastase inhibitor (@GENE$) on acid-induced lung injury in rats.	CPR:4
2859531.T2.T14	@CHEMICAL$ treatment (2 X 5 mg/day) caused a 30% decrease of @GENE$ density and PRA after 2 days; both parameters remained reduced during treatment.	CPR:4
11695255.T7.T16	Celecoxib selectively suppressed @CHEMICAL$ but not TxB2 at time points consistent with @GENE$ activity, while producing analgesia.	CPR:9
12636181.T2.T10	Butyrylcholinesterase: an important new target in Alzheimer's disease therapy. Acetylcholinesterase (@CHEMICAL$) predominates in the healthy brain, with butyrylcholinesterase (BuChE) considered to play a minor role in regulating brain @GENE$ (ACh) levels.	CPR:9
14633707.T1.T9	Blocking EGFR signaling with the EGFR/@CHEMICAL$ kinase inhibitor (KI) @GENE$ decreased the postradiation survival of irradiated Ras-transformed cells and normal cells but had no effect on the survival of unirradiated cells.	CPR:4
15946589.T1.T13	@CHEMICAL$ (STI571, Gleevec, Glivec; Novartis Pharmaceuticals, East Hanover, NJ), a selective inhibitor of KIT, ABL, @GENE$-ABL, PDGFRA, and PDGFRB, represents a new paradigm of targeted cancer therapy and has revolutionized the treatment of patients with chronic myelogenous leukemia and GISTs.	CPR:4
23396144.T4.T19	In HaCaT cells, buthanol and @CHEMICAL$ fractions of 80% methanol C. fragile extract (CFB or CFE) and a single compound, clerosterol (CLS) isolated from CFE attenuated UVB (60mJ/cm(2))-induced cytotoxicity and reduced expression of pro-inflammatory proteins including cyclooxygenase-2 (COX-2), @GENE$ (iNOS), and tumor necrosis factor-a (TNF- a).	CPR:4
11691635.T2.T9	The specific activity of only ornithine aminotransferase (@CHEMICAL$), the rate-limiting enzyme in the conversion of @GENE$ to proline, increased in 2 weeks of hypertrophy.	CPR:9
15740719.T35.T62	Binding domains of the oxytocin receptor for the selective @CHEMICAL$ antagonist barusiban in comparison to the agonists @GENE$ and carbetocin.	CPR:5
23479738.T4.T34	A highly potent inhibition of the @CHEMICAL$ catalytic reaction by NO/@GENE$ was seen in assays employing the coupled Prx-Trx system.	CPR:4
12470615.T6.T28	The immune response modifiers, imiquimod and @CHEMICAL$, are TLR7 agonists that induce @GENE$ in numerous species, including humans.	CPR:3
1322047.T6.T15	The potent anabolic effects of the @CHEMICAL$ agonist @GENE$ on skeletal muscle have been reported to be independent of actions on beta-adrenoceptors.	CPR:5
23607523.T2.T29	Targeted disruption of the gene encoding the N-glycosyltransferase, prlH, abolished pyralomicin production, and recombinant expression of @CHEMICAL$ confirms the activity of this enzyme as a sugar phosphate cyclase involved in the formation of the C7-@GENE$ moiety.	CPR:9
15939622.T6.T20	However at IC80, @CHEMICAL$ (+134.4%) and flunixin (+29.7%) had greater @GENE$ selectivity than at IC50, and meloxicam (-41.2%) and carprofen (-12.9%) had lower COX-2 selectivity than at IC50.	CPR:4
23274058.T6.T23	These data suggest that @CHEMICAL$, isolated from Japanese mugwort, modulates the ERK/ATM/Chk1/2 pathway, leading to inactivation of the @GENE$-cyclin B1 complex, followed by G2/M cell cycle arrest in endometrial cancer cells.	CPR:4
22708686.T11.T36	We previously reported that @CHEMICAL$ antidepressants act as agonists at distinct @GENE$.	CPR:5
23432429.T28.T49	Coumarin 7-hydroxylation, catalyzed by @CHEMICAL$, was strongly inhibited by 2'-methoxy-5,7-dihydroxyflavone, 2-ethynylnaphthalene, 2'-methoxyflavone, @GENE$, acenaphthene, acenaphthylene, naphthalene, 1-acetylpyrene, flavanone, chrysin, 3-ethynylphenanthrene, flavone, and 7-hydroxyflavone; these chemicals induced Type I spectral changes with low Ks values.	CPR:4
16609060.T4.T17	For some, pharmacologic inhibitors are available, including sorafenib for BRAF, farnesyltransferase inhibitors for NRAS, PD-0325901 for mitogen-activated protein kinase/extracellular signal-regulated kinase kinase, @CHEMICAL$ analogues for @GENE$, and agents that inhibit either vascular endothelial growth factor or its receptors.	CPR:4
12086935.T11.T24	AMP-activated protein kinase (@CHEMICAL$) activity increases in response to depletion of cellular energy stores, and this enzyme has been implicated in the stimulation of @GENE$ uptake into skeletal muscle and the inhibition of liver gluconeogenesis.	CPR:9
23475432.T3.T29	The toxic effects of @CHEMICAL$ significantly attenuated with @GENE$ pre-exposure.	CPR:4
11078056.T2.T14	Selective COX-2 inhibitors, such as meloxicam, celecoxib (SC-58635), and rofecoxib (@CHEMICAL$), are NSAIDs that have been modified chemically to preferentially inhibit @GENE$ but not COX-1.	CPR:4
12414329.T11.T12	@CHEMICAL$ exhibits inhibitory potency against PDE5 and a 10-fold lower dose-related inhibitory potency against rod outer segment PDE6, the predominant @GENE$ in the phototransduction cascade in rods.	CPR:4
17486539.T6.T21	In contrast, the @CHEMICAL$ catabolising enzymes Cyp26A1 and @GENE$ which are known to be RA-responsive were not expressed at all in the developing eye.	CPR:9
21926191.T6.T28	Treatment with @CHEMICAL$ inhibited MET and @GENE$ phosphorylation in vitro and in tumor models in vivo and led to significant reductions in cell invasion in vitro.	CPR:4
17119350.T3.T11	We have previously demonstrated that phosphorylation of @CHEMICAL$ (FADD) at 194 serine through c-jun NH2-terminal kinase (JNK) activation sensitizes breast cancer cells to chemotherapy through accelerating cell cycle arrest at G2/M, and that Bcl-2 phosphorylation downstream of JNK/FADD plays an important role in cell growth suppression by @GENE$.	CPR:3
19962254.T10.T27	As discussed in this review, various progestogens including dydrogesterone and its 20alpha-dihydro-derivative, medrogestone, @CHEMICAL$, nomegestrol acetate and norelgestromin can reduce intratissular levels of estradiol in breast cancer by blocking @GENE$ and 17beta-hydroxysteroid-dehydrogenase type 1 activities.	CPR:4
15133856.T14.T36	The @CHEMICAL$ absorbed light value/GAPDH absorbed light value of mesenteric arteries in the SHR group was 0.850+/-0.015, which was significantly higher than that in the WKY, imidapril, and @GENE$ groups (0.582+/-0.013, 0.743+/-0.012, and 0.789+/-0.013, respectively, P<0.01), and was significantly lower in imidapril group than in irbesartan group (P<0.05).	CPR:3
17094978.T3.T24	CONCLUSION(S): Short-term exposure of @CHEMICAL$ in new starters of DMPA increases the expression of endometrial @GENE$, PRAB, PRB, and SRC-1 and promotes cell proliferation.	CPR:3
16781459.T25.T62	Both @CHEMICAL$ solution prepared by bubbling pure H(2)S gas and NaSH, a H(2)S donor, dose dependently induced @GENE$ expression through the activation of the extracellular signal-regulated kinase (ERK).	CPR:3
11054378.T18.T21	@CHEMICAL$ inhibited tumor necrosis factor alpha-induced activation of endogenous @GENE$ in Jurkat T cells and SW620 colon cells, as well as the catalytic activity of purified IKK-alpha and IKK-beta in vitro.	CPR:4
10424850.T5.T17	We conclude that decreased NET synthesis may contribute to the chronic, but not acute, effect of @CHEMICAL$ to downregulate the @GENE$.	CPR:4
16599255.T3.T13	Novel highly affine histamine H3 receptor ligands with additional inhibitory effects on the main histamine metabolizing enzyme in the brain, N-methyltransferase, chemically show structural elements of the @CHEMICAL$ inhibitor @GENE$.	CPR:4
12487427.T28.T71	This study shows that the potency of @CHEMICAL$ in comparison with omapatrilat is more than 100-fold lower in human, but less than 10-fold lower in rat plasma, suggesting that rat may not be a suitable in vivo model for the evaluation of ACE/@GENE$ inhibition in relation to effects in humans.	CPR:4
23597506.T1.T18	In terms of the mechanisms, we found that @CHEMICAL$ (FAAH) which degrades @GENE$, was upregulated after nerve injury at both ages, so that this upregulation likely did not account for the age-dependent differences.	CPR:9
18574460.T2.T21	Estimated affinities for the fast-inactivated channel state were 81 nM, 312 nM and 227 nM for 4-iodopropofol, @CHEMICAL$ and 4-chloropropofol in @GENE$, and 450 nM for 4-chloropropofol in Na(V)1.2.	CPR:4
23703578.T2.T26	All HIV PIs except nelfinavir are coadministered with a low dose of @CHEMICAL$, a potent @GENE$ inhibitor to improve their pharmacokinetic properties.	CPR:4
23393127.T7.T36	We hypothesized that @CHEMICAL$ is activated by a distinct signaling pathway in response to pulsatile @GENE$ in a frequency-dependent manner to dictate the FSHb transcriptional response.	CPR:3
23164921.T8.T15	Biochemical analyses showed that NO and ROS production and @CHEMICAL$ activity were significantly reduced by @GENE$.	CPR:4
23474389.T5.T8	Active compounds, such as the @CHEMICAL$ analogue 6c, were found to exhibit sub-micromolar IC50 values in @GENE$ expressing human cancer cell lines.	CPR:4
17673606.T1.T25	@CHEMICAL$ (DVS) is a recently introduced antagonist of the human norepinephrine and serotonin transporters (@GENE$ and hSERT, respectively), currently in clinical development for use in the treatment of major depressive disorder and vasomotor symptoms associated with menopause.	CPR:6
15465654.T1.T26	@CHEMICAL$, bosentan and glibenclamide inhibit the bile salt export pump (@GENE$) which transports taurocholate into bile.	CPR:4
22708686.T24.T43	The atypical antidepressant @CHEMICAL$ exhibits agonist activity at @GENE$.	CPR:5
15133856.T9.T33	The ratio of @CHEMICAL$ absorbed light value to GAPDH absorbed light value in the SHR group was 0.887+/-0.019, which was significantly higher than that in WKY group, imidapril group, and @GENE$ group with the ratios of 0.780+/-0.018, 0.803+/-0.005, and 0.847+/-0.017, respectively (P<0.01).	CPR:3
16843091.T4.T14	However, several promising nonpeptide, @CHEMICAL$ antagonists have been described; these agents are VPA-985 (lixivaptan), YM-087 (@GENE$), OPC-41061 (tolvaptan), and SR-121463.	CPR:6
23432124.T11.T15	Racemic IKM-159 was crystallized with the ligand-binding domain of GluA2, and the structure revealed a complex containing (2R)-IKM-159 at the glutamate binding site. @CHEMICAL$ locks the @GENE$ in an open form, consistent with a pharmacological action as competitive antagonist of AMPA receptors.	CPR:4
23391336.T3.T14	A large number of @CHEMICAL$ and some 5-mercapto-1,3,4-thiadiazoles were investigated as @GENE$ inhibitors.	CPR:4
17588565.T1.T18	In this study the neuromuscular blocking drug @CHEMICAL$ and the controls gallamine and pancuronium slowed the rate of atropine induced [(3)H]N-methylscopolamine dissociation from Chinese hamster ovary cells expressing recombinant @GENE$ K(off) values min(-1); vecuronium (125 nM), atropine 0.45+/-0.07+blocker 0.04+/-0.02; gallamine (21 nM), atropine 0.42+/-0.05+blocker 0.15+/-0.04; pancuronium(21 nM), atropine 0.36+/-0.03+blocker 0.03+/-0.01).	CPR:4
23448346.T4.T17	These results provide an example that attachment of a bulky side chain to the C-7a position of E2 can produce ER antagonists with @CHEMICAL$ affinity comparable to that of @GENE$.	CPR:6
22552008.T20.T40	Overexpression of CRBN wild-type protein, but not CRBN(YW/AA) mutant protein, in KMS12 myeloma cells, amplified @CHEMICAL$-mediated reductions in @GENE$ and IRF4 expression and increases in p21(WAF-1) expression.	CPR:4
10548268.T22.T33	The reversible @CHEMICAL$ inhibitor, @GENE$ (0.3-3 mg/kg), and the irreversible MAO-A inhibitor, clorgyline (10-30 mg/kg), also reduced ethanol self-administration.	CPR:4
15939622.T3.T19	As expected, comparison of IC50 indicated that meloxicam and carprofen are more selective inhibitors of @CHEMICAL$ than @GENE$ and flunixin; meloxicam was the most advantageous for horses of four NSAIDs examined.	CPR:4
6319437.T7.T26	Three lines of evidence suggest that calmodulin inhibition is not responsible for the inhibition of binding and endocytosis: 1) @CHEMICAL$, a phenothiazine that is a poor inhibitor of calmodulin, is nearly as effective as TFP at inhibiting endocytosis; calmidazolium, a potent inhibitor of several @GENE$ functions, did not cause a loss of binding; 2) the microinjection of calmodulin into cells did not reverse the effects of W-7; using pressure microinjection, we introduced up to a 100-fold excess of calmodulin over native levels into individual gerbil fibroma cells; using rhodamine-labeled alpha 2-macroglobulin, we saw that the W-7 induced inhibition of receptor-mediated endocytosis was the same in injected and uninjected cells; 3) we injected calcineurin, a calmodulin-binding protein, into cells (1-3 pg/cell) and observed no effect on the receptor-mediated endocytosis of rhodamine-labeled alpha 2-macroglobulin.	CPR:4
10658902.T8.T50	Mitochondrially-bound dihydroorotate dehydrogenase (@CHEMICAL$) catalyzes the fourth sequential step in the de novo synthesis of @GENE$.	CPR:9
23230131.T21.T44	All four DCK proteins yielded comparable metabolic activity for Ara-C and dFdC monophosphorylation, except for @CHEMICAL$24Val, which demonstrated an approximately 2-fold increase (P < 0.05) in the intrinsic clearance of @GENE$ monophosphorylation due to a 40% decrease in K(m) (P < 0.05).	CPR:9
10658902.T4.T42	With respect to the @CHEMICAL$ co-substrate of the @GENE$, atovaquone (Kic = 2.7 microM) and dichloroally-lawsone (Kic = 9.8 nM) were shown to be competitive inhibitors of human dihydroorotate dehydrogenase.	CPR:9
9730867.T3.T15	Secretion of GM-CSF protein in the presence of increasing concentrations of @CHEMICAL$ followed a similar pattern as observed for @GENE$ mRNA.	CPR:3
6311012.T13.T41	This agent acts synergistically with many penicillins, such as @CHEMICAL$, carbenicillin, and the like, and with cephalosporins, cefazolin, cefamandole, or cefoxitin to inhibit gram-negative bacilli, probably on the basis of binding to different proteins needed for the production of the @GENE$ of the bacterial cell wall.	CPR:3
15975002.T3.T23	CPT-11 and @CHEMICAL$ may also stimulate the production of pro-inflammatory @GENE$ and prostaglandins (PGs), thus inducing the secretion of Na(+) and Cl(-).	CPR:3
23292752.T6.T32	Although parenteral oral direct thrombin inhibitors (DTIs), such as argatroban and bivalirudin, have been on the market for years, DTIs such as @CHEMICAL$ are novel synthetic @GENE$ antagonists.	CPR:6
23416003.T1.T10	@CHEMICAL$ were designed and synthesized as potent TF-@GENE$ inhibitors.	CPR:4
16781459.T9.T49	Interestingly, the inhibitory effect of @CHEMICAL$ on @GENE$ activation was reversed by the transient transfection with HO-1 siRNA, but was mimicked by either HO-1 gene transfection or treatment with carbon monoxide (CO), an end product of HO-1.	CPR:4
12141946.T14.T38	During polyamine catabolism, spermine and spermidine are first acetylated by spermidine/spermine N(1)-acetyltransferase (SSAT) and subsequently oxidized by @CHEMICAL$ (PAO) to produce spermidine and @GENE$, respectively.	CPR:9
8606397.T4.T11	One group of experimental animals was treated with 5-lipoxygenase (@CHEMICAL$) inhibitor, @GENE$ (DEC, Sigma, St. Louis, Missouri) (50 mg/kg, i.v.), immediately before blast.	CPR:4
23296142.T3.T14	Insertion of ERa was blocked by the ER antagonist ICI 182,780 or with the @CHEMICAL$ (PKC) pathway inhibitor @GENE$ (BIS).	CPR:4
23474389.T1.T7	A series of substituted @CHEMICAL$ has been synthesised and tested in vitro as potential pro-apoptotic @GENE$-inhibitory anticancer agents.	CPR:4
23182946.T10.T36	Also, reactive astrogliosis takes part of the early responses to the insult with @CHEMICAL$, evidenced by upregulated @GENE$ in Western blot, PCR and immunofluorescence analysis.	CPR:3
17588565.T2.T18	In this study the neuromuscular blocking drug vecuronium and the controls @CHEMICAL$ and pancuronium slowed the rate of atropine induced [(3)H]N-methylscopolamine dissociation from Chinese hamster ovary cells expressing recombinant @GENE$ K(off) values min(-1); vecuronium (125 nM), atropine 0.45+/-0.07+blocker 0.04+/-0.02; gallamine (21 nM), atropine 0.42+/-0.05+blocker 0.15+/-0.04; pancuronium(21 nM), atropine 0.36+/-0.03+blocker 0.03+/-0.01).	CPR:4
23024204.T8.T30	We recently showed that @CHEMICAL$ is metabolized in vitro by polyamine catabolic enzyme @GENE$ (SSAT1) and by thialysine acetyltransferase (SSAT2) to its monoacetylated derivative (MAT).	CPR:9
21926191.T2.T13	Collectively, these data suggest that @CHEMICAL$ is a promising agent for inhibiting tumor angiogenesis and metastasis in cancers with dysregulated MET and @GENE$ signaling.	CPR:4
10220509.T9.T16	RESULTS: Administration of SC-236 to cirrhotic animals did not produce significant renal effects, whereas administration of the nonselective @CHEMICAL$/COX-2 inhibitor, @GENE$, resulted in a marked reduction in urine volume, urinary excretion of prostaglandins, and glomerular filtration rate and in a significant impairment in renal water metabolism.	CPR:4
12487427.T33.T76	In this work a novel approach combining HPLC-UV on-line with oaTOF-MS and ICPMS was applied to investigate in human and rat plasma the metabolism of labelled BK (79/81 Br-Phe5) BrBK in the presence of two new dual ACE/@CHEMICAL$ inhibitors (@GENE$ and omapatrilat) currently under clinical trial.	CPR:4
23220037.T9.T24	The aim of the present work was to evaluate the effectiveness of such an antidote by testing whether doxorubicin (@CHEMICAL$), a known @GENE$ inducer, could efficiently protect Caco-2 cells against PQ cytotoxicity, 6 h after the incubation with the herbicide, reflecting a real-life intoxication scenario.	CPR:3
10909982.T1.T13	Treatment of lactating mice with a single injection of @CHEMICAL$, an activator of the @GENE$ (PPAR), raises UCP-3 mRNA in skeletal muscle to levels similar to those in virgin mice. 4-chloro-6-[(2,3-xylidine)-pirimidinylthio] acetic acid (WY-14,643), a specific ligand of the PPAR-alpha subtype, causes the most dramatic increase in UCP-3 mRNA, whereas troglitazone, a specific activator of PPAR-gamma, also significantly increases UCP-3 mRNA abundance in skeletal muscle of lactating mice.	CPR:3
17094978.T1.T18	RESULT(S): The expression of endometrial ERalpha, PRAB, @CHEMICAL$, and SRC-1 was increased significantly after 1 week of @GENE$, but the increase was no longer seen after 10 weeks.	CPR:3
23284002.T19.T41	Human immortalized corneal fibroblasts were treated with TGF-b in the presence of TSA, the NAD(P)H oxidase inhibitor diphenyleneiodonium (DPI), the antioxidant N-acetyl-cysteine (NAC), the NF-E2-related factor 2-antioxidant response element (Nrf2-@CHEMICAL$) activator @GENE$, or small interfering RNA.	CPR:3
12181285.T6.T30	The outflow of [3H]-MPP+ was significantly enhanced by MPP+, @CHEMICAL$, choline and amantadine as potential substrates for OCT-related @GENE$.	CPR:9
14596599.T2.T37	@CHEMICAL$ (L-serine dehydratase, EC 4.3.1.17) catalyzes the pyridoxal 5'-phosphate (PLP)-dependent dehydration of L-serine to yield @GENE$ and ammonia.	CPR:9
12487427.T28.T70	This study shows that the potency of @CHEMICAL$ in comparison with omapatrilat is more than 100-fold lower in human, but less than 10-fold lower in rat plasma, suggesting that rat may not be a suitable in vivo model for the evaluation of @GENE$/NEP inhibition in relation to effects in humans.	CPR:4
23396144.T7.T22	In HaCaT cells, buthanol and ethylacetate fractions of 80% methanol C. fragile extract (CFB or CFE) and a single compound, clerosterol (@CHEMICAL$) isolated from CFE attenuated UVB (60mJ/cm(2))-induced cytotoxicity and reduced expression of pro-inflammatory proteins including cyclooxygenase-2 (COX-2), inducible nitric oxide synthase (iNOS), and tumor necrosis factor-a (@GENE$).	CPR:4
19149483.T36.T53	The most successful example of @CHEMICAL$ blockers is Imatinib (@GENE$, Gleevec, STI571), the inhibitor of Bcr/Abl oncoprotein, which has become a first-line therapy for chronic myelogenous leukemia.	CPR:4
12181285.T6.T29	The outflow of [3H]-MPP+ was significantly enhanced by MPP+, @CHEMICAL$, choline and amantadine as potential substrates for @GENE$-related transmembrane transporters.	CPR:9
8730743.T11.T23	After 7 days of @CHEMICAL$ administration the number of @GENE$ was lower in frontal and occipital cortex and hippocampus.	CPR:4
17369473.T3.T47	In hearts treated with @CHEMICAL$, [AMP] was increased at 50 min and AMPK activity, phosphorylated AMPK, and @GENE$ were elevated at 61 min.	CPR:3
23566269.T10.T19	We investigated the ability of the initial fragment hit, 3-hydroxy-pyridine-2(1H)-one, to fill this subpocket with the aid of complex structure information. @CHEMICAL$ exhibited the predicted binding mode and demonstrated high inhibitory activity for @GENE$ in enzyme- and cell-based assays.	CPR:4
23270704.T10.T27	@CHEMICAL$ and raisanberine alleviate intermittent hypoxia induced abnormal StAR and 3b-HSD and low testosterone by suppressing endoplasmic reticulum stress and activated @GENE$ in rat testes.	CPR:4
22708686.T19.T41	In [(35)S]GTPgammaS assays, @CHEMICAL$ selectively activated @GENE$.	CPR:3
17459764.T19.T36	The inhibitory effects of @CHEMICAL$ and T0070907 (@GENE$ antagonists), on COX-2 expression and on stimulation of COX-2 promoter activity by EPA and GLA suggest that PPARgamma is implicated in COX-2 induction.	CPR:6
23220037.T8.T24	The aim of the present work was to evaluate the effectiveness of such an antidote by testing whether @CHEMICAL$ (DOX), a known @GENE$ inducer, could efficiently protect Caco-2 cells against PQ cytotoxicity, 6 h after the incubation with the herbicide, reflecting a real-life intoxication scenario.	CPR:3
9760035.T3.T38	All three compounds displayed antagonistic properties against @CHEMICAL$ in vitro, with @GENE$ being the strongest inhibitor (pA2 = 8.21) and carbetocin metabolite II (pA2 = 8.01) being stronger than carbetocin metabolite I (pA2 = 7.81).	CPR:4
9843368.T9.T21	Here we present the crystal structure of the dimeric catalytic domain (residues 117-424) of human phenylalanine hydroxylase (@CHEMICAL$), cocrystallized with various potent and well-known @GENE$ inhibitors and refined at a resolution of 2.0 A. The catechols bind by bidentate coordination to each iron in both subunits of the dimer through the catechol hydroxyl groups, forming a blue-green colored ligand-to-metal charge-transfer complex.	CPR:4
12710892.T12.T19	Agents which have recently been shown to block @CHEMICAL$ translation by regulating calcium levels are the unsaturated essential fatty acid, @GENE$ (EPA), the antidiabetic thiazolidinediones, and the antifungal agent, clotrimazole.	CPR:4
1356794.T3.T14	In the hot-plate test in mice, the antinociceptive action of the alpha 2-adrenoceptor agonist, UK 14,304, was abolished by the alpha 2-adrenoceptor antagonist, idazoxan, the potent alpha 2A-adrenoceptor antagonist, RX 821002 and the preferential @CHEMICAL$ antagonist, @GENE$.	CPR:6
12200198.T11.T30	An inhibitor of type B monoamine oxidase (@CHEMICAL$), (-)deprenyl (@GENE$), was reported to have neuroprotective activity, but clinical trials failed to confirm it.	CPR:4
