pmid	text	labels
11836618	Overexpression and amplification of cyclin D1 were investigated by immunohistochemistry and differential polymerase chain reaction ( dPCR ) in 440 formalin-fixed primary breast carcinoma tissues . Overexpression of cyclin D1 was detected in 60% ( 263/440 ) and amplification of cyclin D1 was noted in 27% ( 119/440 ) of the primary breast carcinomas . Molecular analysis demonstrated that cyclin D1 was amplified in 30% ( 7/23 ) of the comedo DCIS , 22% ( 9/41 ) of the comedo DCIS and 32% ( 13/41 ) of the adjacent invasive ductal carcinomas , 30% ( 82/270 ) of the invasive ductal carcinomas , 27% ( 9/33 ) of the invasive lobular carcinomas , 19% ( 4/21 ) of the colloid carcinomas and 13% ( 2/15 ) of the medullary carcinomas . Cyclin D1 was amplified in 11% ( 2/19 ) of the invasive ductal carcinomas but not in the adjacent non-comedo DCIS lesions . Our observation showed that cyclin D1 was strongly positive in 61% ( 14/23 ) of the comedo subtype , 61% ( 11/18 ) of the non-comedo subtype , 59% ( 24/41 ) of the comedo DCIS and 63% ( 26/41 ) of the adjacent invasive ductal carcinomas , 53% ( 10/19 ) of the non-comedo DCIS and 58% ( 11/19 ) of the adjacent invasive lesions , 58% ( 157/270 ) of the invasive ductal carcinomas , 73% ( 24/33 ) of the invasive lobular carcinomas , 52% ( 11/21 ) of the colloid carcinomas and 27% ( 4/15 ) of the medullary carcinomas . A significant association was observed between in situ components and adjacent invasive lesions for cyclin D1 expression ( p&lt;0.05 ) and amplification ( p&lt;0.05 ) . A significant relationship was noted between amplification of cyclin D1 and lymph node metastases ( p&lt;0.05 ) but not with histological grade ( p&gt;0.05 ) , estrogen receptor status ( p&gt;0.05 ) and proliferation index ( Ki-67 and PCNA ) ( p&gt;0.05 ) . However , overexpression of cyclin D1 was statistically associated with well differentiated tumors ( p&lt;0.05 ) and estrogen receptor positivity ( p&lt;0.05 ) . No relationship was seen with nodal status ( p&gt;0.05 ) and proliferation index ( Ki-67 and PCNA ) ( p&gt;0.05 ) . These observations suggest that tumors positive for cyclin D1 protein may have features of good prognosis but amplification of cyclin D1 gene could be an indicator of tumors with poor prognostic features . Although majority of the Malaysian patients belong to younger age group ( &lt;50 years old ) , amplification and expression of cyclin D1 was not statistically associated with patient age ( p&gt;0.05 ) . These observations indicate that amplification and up-regulation of cyclin D1 may be independent of patient age . Moreover , overexpression and amplification of cyclin D1 in preinvasive , preinvasive and adjacent invasive lesions , and invasive carcinomas suggest that the gene may play an important role in early and late stages of breast carcinogenesis .	sustaining proliferative signaling;activating invasion and metastasis
11849319	Interferon-gamma ( IFN-gamma ) has pleiotropic activities other than its antivirus action , including cell growth inhibition , natural killer ( NK ) cell and cytotoxic T lymphocyte ( CTL ) activation , and angiogenesis inhibitory activity , and these activities are supposed to be involved in its antitumour activity . However , it has not been completely elucidated which activity is mainly involved in the tumour suppression in vivo . In this study , we analysed inhibitory mechanisms of endogenous IFN-gamma against B16 melanoma experimental metastasis . After intravenous injection of tumour cells , tumour deposits in the lungs and liver were increased and life span was shorter in IFN-gamma(-/-) mice , indicating important roles for IFN-gamma in antitumour mechanisms . Interestingly , tumour deposits were not increased in IFN-gamma receptor ( R)(-/- ) mice . Furthermore , only low levels of cell-mediated immunity against the tumour and activation of NK cells were observed , indicating that antimetastatic effects of IFN-gamma is not mediated by host cells . The survival period of B16 melanoma-bearing IFN-gamma R(-/-) mice was , however , shorter than wild-type mice . These observations suggest that IFN-gamma prevents B16 melanoma experimental metastasis by directly inhibiting the cell growth , although antitumour host functions may also be involved in a later phase .	activating invasion and metastasis
11850815	P53 activity plays a key role in mammalian cells when they undergo replicative senescence at their Hayflick limit . To determine whether p63 proteins , members of the family of p53-related genes , are also involved in this process , we examined their expression in serially passaged rat embryo fibroblasts . Upon senescence , two truncated DeltaNp63 proteins decreased in abundance whereas two TAp63 isoforms accumulated. 2-D gel analysis showed that the DeltaNp63 proteins underwent post-translational modifications in both proliferating and senescent cells . Direct binding of DeltaNp63 proteins to a p53 consensus motif was greater in proliferating cells than senescent cells . In contrast p63alpha isoforms bound to DNA in a p53 dependent manner and this was higher in senescent cells than proliferating cells . An interaction of p63alpha proteins with SV40 large tumour antigen was also detected and ectopic expression of DeltaNp63alpha can extend the lifespan of rat embryo fibroblasts . Taken together the results indicate that p63 proteins may play a role in replicative senescence either by competition for p53 DNA binding sites or by direct interaction with p53 protein bound to DNA .	enabling replicative immortality
11857086	Mesotheliomas are malignant tumors of the pleural and peritoneal membranes which are often associated with asbestos exposure and with Simian virus 40 ( SV40 ) infection . Telomerase activity is repressed in somatic cells and tissues but is activated in immortal and malignant cells . We evaluated telomerase activity in seven primary malignant mesothelioma biopsies and matched lung specimens and 20 mesothelioma cell lines and eight corresponding primary tumor cultures . All the tumor biopsies , and nearly all primary cell mesothelioma cultures and cell lines were telomerase positive . The findings in cell lines paralleled those observed in primary cultures in cases where paired samples were available . Next , we found that SV40 , a DNA tumor virus present in approximately 50% of mesothelioma biopsies in the USA , induced telomerase activity in primary human mesothelial cells , but not in primary fibroblasts . Telomerase activity became detectable as early as 72 h following wild-type ( strain 776 ) SV40 infection , and a clear DNA ladder was detectable 1 week after infection . The amount of telomerase activity increased during passage in cell culture and appeared to parallel increases in the cellular amounts of the SV40 large T-antigen . Thus , SV40 infection leads to telomerase activity before the infected mesothelial cells become transformed and immortalized . SV40 infection of human fibroblasts did not cause detectable telomerase activity . We also determined that the SV40 small t-antigen ( tag ) plays an important role in inducing telomerase activity because this activity was undetectable or minimal in mesothelial cells infected and/or transformed by SV40 tag mutants . Asbestos alone did not induce telomerase activity , and asbestos did not influence telomerase activity in mesothelial cells infected with SV40 . Induction of telomerase activity by SV40 may be related to the very high rate of mesothelial cell immortalization that is characteristically associated with SV40 infection of mesothelial cells .	enabling replicative immortality
11877436	Treatment of cells with the anti-cancer drug camptothecin ( CPT ) induces topoisomerase I ( Top1)-mediated DNA damage , which in turn affects cell proliferation and survival . In this report , we demonstrate that treatment of the wild-type HCT116 ( wt HCT116 ) human colon cancer cell line and the isogenic p53(-/-) HCT116 and p21(-/-) HCT116 cell lines with a high concentration ( 250 nm ) of CPT resulted in apoptosis , indicating that apoptosis occurred by a p53- and p21-independent mechanism . In contrast , treatment with a low concentration ( 20 nm ) of CPT induced cell cycle arrest and senescence of the wt HCT116 cells , but apoptosis of the p53(-/-) HCT116 and p21(-/-) HCT116 cells . Further investigations indicated that p53-dependent expression of p21 blocked apoptosis of wt HCT116 cells treated with 20 nm , but not 250 nm CPT . Interestingly , blocking of the apoptotic pathway , by Z-VAD-FMK , in p21(-/-) HCT116 cells following treatment with 20 nm CPT did not permit the cells to develop properties of senescence . These observations demonstrated that p21 was required for senescence development of HCT116 cells following treatment with low concentrations of CPT .	resisting cell death;enabling replicative immortality;sustaining proliferative signaling
11896073	AIMS Tumour cell growth results from a disturbance in the balance between the rate of proliferation and cell death . In this study , proteins involved in the regulation of cell cycle arrest and apoptosis were studied as possible factors responsible for uncontrolled cell growth in colorectal cancer . METHODS The expression of proteins involved in these processes was investigated in 48 metastases from patients with colorectal cancer and compared with eight normal colon mucosa samples and 14 primary tumours . Both primary tumours and metastases were obtained from eight patients . The expression of thymidylate synthase ( TS ) , p53 , retinoblastoma protein ( Rb ) , Fas receptor , Fas ligand , bcl-2 , mcl-1 , bax , and bcl-x was measured using immunohistochemistry . Proliferation was determined by Ki67 staining , whereas apoptosis was assessed by M30 immunostaining , which recognises cleaved cytokeratin 18 . RESULTS In the limited number of cases in which paired comparisons were possible , the expression of TS and Ki67 was significantly higher in metastases than in the matched primary tumour samples ( p = 0.014 and 0.016 , respectively ) , whereas Rb expression was lower in metastases than in primary tumours ( p = 0.024 ) . Fas receptor expression was high in normal mucosa but absent in primary tumours and metastases , whereas the opposite was seen for p53 . The expression of bax , mcl-1 , and bcl-x in normal mucosa was more apical than that seen in malignant cells , where a more diffuse expression pattern was seen ( p &lt ; 0.04 ) . Apoptosis was more abundant in primary tumours than in metastases . CONCLUSIONS These results demonstrate that proliferation and apoptosis are disturbed during colorectal cancer progression , and this is accompanied by loss of Rb and Fas expression , the accumulation of p53 and TS , and changes in the expression patterns of bax , mcl-1 , and bcl-xl .	activating invasion and metastasis;sustaining proliferative signaling;resisting cell death
11901535	It is well known that cell-mediated immunity is suppressed in patients with neoplastic diseases . We have reported that soluble receptors for interleukin-2 ( sIL-2R ) and tumor necrosis factor ( sTNF-R1 ) are elevated in the serum of patients with advanced colorectal cancer . The presence of these soluble receptors and immunosuppressive cytokines , including interleukin-10 ( IL-10 ) , might be important in the mechanisms of immunosuppression. cis-Diaminedichloroplatinum ( cisplatin ) has been reported to immunomodulate , especially when used in low dose in combination with 5-Fluorouracil ( 5-FU ) . In this study , cisplatin and UFT , a form of uracil and tegafur which is a prodrug of 5-FU , were administered with immunomodulator Polysaccharide K ( PSK ) to ten patients with colorectal cancer , who showed distant metastasis in the liver or lung , and the serum levels of sIL-2R and sTNF-R1 and the production of gamma-interferon ( gamma-INF ) and interleukin-10 by peripheral blood mononuclear cells were measured . The serum concentrations of sIL-2R and the production of IL-10 were reduced ( p &lt ; 0.05 ) after 2 months of treatment . Thus , this combination appeared to have immunomodulative potential in patients with advanced colorectal cancer .	activating invasion and metastasis;avoiding immune destruction
11912168	Often the use of cytotoxic drugs in cancer therapy results in stable disease rather than regression of the tumor , and this is typically seen as a failure of treatment . We now show that DNA damage is able to induce senescence in tumor cells expressing wild-type p53 . We also show that cytotoxics are capable of inducing senescence in tumor tissue in vivo . Our results suggest that p53 and p21 play a central role in the onset of senescence , whereas p16(INK4a) function may be involved in maintaining senescence . Thus , like apoptosis , senescence appears to be a p53-induced cellular response to DNA damage and an important factor in determining treatment outcome .	enabling replicative immortality;genomic instability and mutation;resisting cell death
11914273	Senescence limits the proliferative capacity of primary cells in culture . We describe here a genetic screen to identify genes that allow bypass of this checkpoint . Using retroviral cDNA expression libraries , we identify BCL6 as a potent inhibitor of senescence . BCL6 is frequently activated in non-Hodgkin's lymphoma , but its mechanism of action has remained unclear . BCL6 efficiently immortalizes primary mouse embryonic fibroblasts and cooperates with RAS in oncogenic transformation . BCL6 overrides the senescence response downstream of p53 through a process that requires induction of cyclin D1 expression , as cyclin D1 knockout fibroblasts are specifically resistant to BCL6 immortalization . We show that BCL6 expression also dramatically extends the replicative lifespan of primary human B cells in culture and induces cyclin D1 expression , indicating that BCL6 has a similar activity in lymphoid cells . Our results suggest that BCL6 contributes to oncogenesis by rendering cells unresponsive to antiproliferative signals from the p19(ARF)-p53 pathway .	enabling replicative immortality;sustaining proliferative signaling
11914642	Proliferator-activated receptor gamma ( PPARgamma ) is a nuclear receptor , which mainly associates with adipogenesis , but also appears to facilitate cell differentiation or apoptosis in certain malignant cells . This apoptosis induction by PPARgamma is increased by co-stimulation with tumor necrosis factor ( TNF)-alpha-related apoptosis-inducing ligand ( TRAIL ) , a member of the TNF family . In this study , we investigated the effect of PPARgamma on Fas-mediated apoptosis in hepatocellular carcinoma ( HCC ) cell lines . PPARgamma was expressed on all seven HCC cell lines and located in their nuclei. 15-Deoxy-Delta-12,14-prostaglandin J2 ( 15d- PGJ2 ) , a PPARgamma ligand , inhibited cellular proliferation in HepG2 , SK-Hep1 or HLE cells , unlike pioglitazone , another PPARgamma ligand , which did not have a significant influence on proliferation of these cells . However , 15d-PGJ2 facilitated Fas-mediated HCC apoptosis that could not be induced by Fas alone . These results suggest that PPARgamma can augment TNF-family-induced apoptosis .	resisting cell death
11929636	Inflammatory events have been associated with senile plaques , one of the pathological hallmarks of Alzheimer's disease ( AD ) . It is believed that aggregated beta-amyloid ( betaA ) proteins , which form the core of these plaques , may be responsible for triggering the inflammatory reaction . In the present study , the ability of aluminum ( Al ) to initiate similar inflammatory events was investigated in a human glioblastoma cell line . A 6-day exposure to either lipopolysaccharide ( LPS ) or aluminum sulfate caused a significant increase in the rate of proliferation of the glioblastoma cells . Both treatments also caused activation of the immune-responsive transcription factor NF-kappaB although there were time-related differences . The levels of secreted cytokines , interleukin-6 ( IL-6 ) and tumor necrosis factor alpha ( TNF-alpha ) were both increased by the LPS treatment although exposure to Al decreased the secretion of the former while elevating the levels of the latter . These events may be due to the activation of glial cells and subsequent stress response to either Al complexes or LPS . Although exposure to either stress factor caused a stimulation of inflammatory markers , there were time-dependent differences in the response . This may reflect the ability of the cells to discern different stress factors and thus orchestrate an innate immune response profile distinct to each immunogen .	tumor promoting inflammation
11929832	Telomerase is a ribonucleoprotein enzyme that functions to maintain telomeres , the terminal DNA that protects chromosomal integrity , regulating cellular replicative life span . Telomerase is not expressed in most normal human somatic cells but is active in stabilizing telomeres of certain self-renewing cell populations and most malignant cells , making the enzyme an appealing target for anticancer therapy . We describe here a novel cross-species approach to telomerase inhibition . Ectopic expression of the human telomerase catalytic reverse transcriptase component in murine cells inhibited endogenous murine telomerase activity . Using this approach , telomerase inhibition in immortal murine fibroblasts resulted in critical telomere shortening , leading to slowed proliferation , abnormal morphology , altered cell cycle , and telomere dysfunction with cytogenetic instability , followed by apoptotic cell death . Subpopulations of two telomerase-inhibited clones escaped widespread apoptosis , showing proliferative recovery in culture despite persistently inhibited telomerase activity with progressive telomere shortening and dysfunction . This study , by targeting immortal murine cells for telomerase inhibition , demonstrates the importance of telomerase to murine cell immortalization and telomere maintenance . Moreover , the murine model used here should prove useful in further evaluating telomerase inhibition as an anticancer therapy .	enabling replicative immortality;resisting cell death
11953889	A rare immunohistochemical study using 28 surgical sections of human chondrosarcoma revealed that 67.9% of tumour cells had weak ( 10-40% ) or strong ( &gt;40% ) positive immunoreaction for peroxisome proliferator-activated receptor-gamma . The expression of peroxisome proliferator-activated receptor-gamma mRNA and protein in human chondrosarcoma cell line OUMS-27 was also determined by reverse transcription-polymerase chain reaction and immunocytochemistry , respectively . Furthermore , the effects of peroxisome proliferator-activated receptor-gamma ligands on cell proliferation and survival were investigated in OUMS-27 cells . Pioglitazone , a selective ligand for peroxisome proliferator-activated receptor-gamma , and 15-deoxy-Delta(12,14)-prostaglandin J(2) ( 15d-PGJ(2) ) , a putative endogenous ligand for peroxisome proliferator-activated receptor-gamma , inhibited the proliferation of OUMS-27 cells in a dose-dependent manner . The mechanism of cytotoxic effects of 15d-PGJ(2) was via apoptosis as shown by DNA fragmentation using TUNEL stain and DNA ladder formation , and by ultrastructural analysis using transmission electron microscopy . Flow-cytometric analysis using annexin-V-fluorescein and propidium iodide detected the early change of apoptosis , as well as necrosis of OUMS-27 cells at 4 h after co-incubation with 15d-PGJ(2) . These results suggest that peroxisome proliferator-activated receptor-gamma may play a significant role in the pathogenesis of chondrosarcoma , and peroxisome proliferator-activated receptor-gamma ligands , especially 15d-PGJ(2) , may be of therapeutic value in the treatment of human chondrosarcoma .	sustaining proliferative signaling;resisting cell death
