index	sentence	label
DDI-DrugBank.d765.s1.p44	For patients receiving ketoconazole or other potent CYP3A4 inhibitors such as other azole antifungals (eg, itraconazole, miconazole) or macrolide antibiotics (eg, erythromycin, clarithromycin) or cyclosporine or @DRUG$, the recommended dose of @DRUG$ is 2 mg daily.	DDI-advise
DDI-DrugBank.d763.s4.p18	However, on the basis of available data, no dosage adjustment for ondansetron is recommended for patients on these drugs.1,3  Tramadol: Although no pharmacokinetic drug interaction between ondansetron and tramadol has been observed, data from 2 small studies indicate that @DRUG$ may be associated with an increase in patient controlled administration of @DRUG$.4,5  Chemotherapy: Tumor response to chemotherapy in the P 388 mouse leukemia model is not affected by ondansetron.	DDI-effect
DDI-DrugBank.d576.s4.p0	@DRUG$ given concomitantly with @DRUG$ may predispose to systemic bleeding.	DDI-effect
DDI-DrugBank.d752.s10.p4	The sedative effect of @DRUG$ is accentuated by any concomitantly administered medication which depresses the central nervous system, particularly narcotics (eg, morphine, meperidine and fentanyl), @DRUG$, ketamine, nitrous oxide, secobarbital and droperidol.	DDI-effect
DDI-DrugBank.d737.s10.p44	Dopamine antagonists: Since pramipexole is a dopamine agonist, it is possible that dopamine antagonists, such as the neuroleptics (phenothiazines, butyrophenones, thioxanthenes) or @DRUG$, may diminish the effectiveness of @DRUG$.	DDI-effect
DDI-MedLine.d218.s8.p3	@DRUG$ users had an increased odds ratio of gastrointestinal bleeding upon initiation of citalopram (OR   =   1.73 [95% CI, 1.25-2.38]), fluoxetine (OR   =   1.63 [95% CI, 1.11-2.38]), paroxetine (OR   =   1.64 [95% CI, 1.27-2.12]), @DRUG$ (OR   =   1.47 [95% CI, 1.02-2.11]).	DDI-effect
DDI-DrugBank.d665.s0.p5	Concurrent administration of bacteriostatic antibiotics (e.g., erythromycin, @DRUG$) may diminish the bactericidal effects of @DRUG$ by slowing the rate of bacterial growth.	DDI-effect
DDI-DrugBank.d643.s0.p133	Melatonin may interact with the following drugs: aspirin and other NSAIDs (may lower melatonin levels), fluvoxamine (bioavailability of oral melatonin is increased with coadministration), beta blockers (may decrease melatonin levels), fluoxetine (reports of psychotic episodes when coadministered), progestin (coadministration of melatonin with progestin can inhibit ovarian function in women), benzodiazepenes and other sedating drugs (may result in additive sedation and an increased incidence of adverse effects), and corticosteroids (coadministration of @DRUG$ and @DRUG$ may interfere with the efficacy of the corticosteroids).	DDI-effect
DDI-DrugBank.d756.s4.p0	Exert particular caution in combining @DRUG$ with other @DRUG$ (tricyclic antidepressants and antiparkinsonian-agents): Particularly the elderly may develop delirium, high fever, severe obstipation, even ileus and glaucoma.	DDI-advise
DDI-DrugBank.d577.s3.p0	@DRUG$ may inhibit the hepatic metabolism of @DRUG$.	DDI-mechanism
DDI-DrugBank.d737.s6.p29	Other drugs eliminated via renal secretion: Population pharmacokinetic analysis suggests that coadministration of drugs that are secreted by the cationic transport system (e.g., cimetidine, ranitidine, @DRUG$, triamterene, verapamil, quinidine, and quinine) decreases the oral clearance of @DRUG$ by about 20%, while those secreted by the anionic transport system (e.g., cephalosporins, penicillins, indomethacin, hydrochlorothiazide, and chlorpropamide) are likely to have little effect on the oral clearance of pramipexole.	DDI-mechanism
DDI-DrugBank.d638.s2.p2	Human pharmacologic studies have shown that @DRUG$ may inhibit the metabolism of coumarin anticoagulants, anticonvulsants (@DRUG$, diphenylhydantoin, primidone), phenylbutazone, and tricyclic drugs (imipramine, clomipramine, desipramine).	DDI-mechanism
DDI-DrugBank.d585.s0.p0	The following agents may increase certain actions or side effects of @DRUG$: @DRUG$, antiarrhythmic agents of class I (e.g., quinidine), antihistamines, antipsychotic agents (e.g., phenothiazines), benzodiazepines, MAO inhibitors, narcotic analgesics (e.g., meperidine), nitrates and nitrites, sympathomimetic agents, tricyclic antidepressants, and other drugs having anticholinergic activity.	DDI-effect
DDI-DrugBank.d777.s1.p12	Use of Anticoagulants and Antiplatelet Agents -- Streptase, @DRUG$, alone or in combination with @DRUG$ and anticoagulants, may cause bleeding complications.	DDI-effect
DDI-MedLine.d143.s4.p0	@DRUG$ has a much weaker effect on @DRUG$'s pharmacokinetics and on platelet reactivity during concomitant use.	DDI-mechanism
DDI-DrugBank.d653.s1.p8	Drugs that induce hepatic enzymes such as phenobarbital, phenytoin and @DRUG$ may increase the clearance of corticosteroids and may require increases in @DRUG$ dose to achieve the desired response.	DDI-mechanism
DDI-DrugBank.d752.s1.p5	Drugs such as @DRUG$, diltiazem, verapamil, ketoconazole, fluconazole and itraconazole were shown to significantly increase the C max and AUC of orally administered @DRUG$.	DDI-mechanism
DDI-DrugBank.d643.s0.p1	@DRUG$ may interact with the following drugs: aspirin and other @DRUG$ (may lower melatonin levels), fluvoxamine (bioavailability of oral melatonin is increased with coadministration), beta blockers (may decrease melatonin levels), fluoxetine (reports of psychotic episodes when coadministered), progestin (coadministration of melatonin with progestin can inhibit ovarian function in women), benzodiazepenes and other sedating drugs (may result in additive sedation and an increased incidence of adverse effects), and corticosteroids (coadministration of melatonin and corticosteroids may interfere with the efficacy of the corticosteroids).	DDI-int
DDI-DrugBank.d610.s3.p0	@DRUG$ decreases the elimination of @DRUG$ causing an increase in overall exposure . The addition of methadone has no clinically significant effect on the pharmacokinetic properties of abacavir.	DDI-mechanism
DDI-DrugBank.d578.s11.p0	There are reports of enhanced as well as diminished effects of @DRUG$ when given concurrently with @DRUG$.	DDI-effect
DDI-MedLine.d185.s7.p0	In the presence of @DRUG$, there was 1.6- and 1.8-fold increase in C (max) and AUC of @DRUG$, respectively.	DDI-mechanism
DDI-DrugBank.d774.s0.p1	@DRUG$ may interact with aminoglutethimide or @DRUG$ (causing too great a decrease in adrenal function).	DDI-int
DDI-DrugBank.d775.s11.p2	The neuromuscular blocking effect of @DRUG$ may be enhanced by drugs that reduce plasma cholinesterase activity (e.g., chronically administered oral contraceptives, glucocorticoids, or certain @DRUG$) or by drugs that irreversibly inhibit plasma cholinesterase . Resistance to the neuromuscular blocking action of nondepolarizing neuromuscular blocking agents has been demonstrated in patients chronically administered phenytoin or carbamazepine.	DDI-effect
DDI-DrugBank.d780.s4.p2	CNS depressant medications: Concurrent use of @DRUG$ and @DRUG$ may result in additive depressant effects.	DDI-effect
DDI-MedLine.d154.s5.p0	In experiment 2, the same regimen of @DRUG$ was administered to chickens inoculated with @DRUG$, and an enhanced serum antibody response to AI vaccination was also observed.	DDI-effect
DDI-DrugBank.d597.s0.p2	ACE inhibitors Reports suggest that @DRUG$ may diminish the antihypertensive effect of @DRUG$.	DDI-effect
DDI-DrugBank.d780.s5.p2	Hyaluronidase: @DRUG$ may increase the diffusion rate of @DRUG$, resulting in a decreased time of onset, but an increase in systemic toxicity.	DDI-mechanism
DDI-DrugBank.d636.s3.p3	@DRUG$ may also affect the effects of other drugs, which include some steroid medications, warfarin, certain heart medicines, birth control pills, anti-infective medicines, @DRUG$ and theophylline Please note that Mephenytoin may interact with other drugs that are not listed here.	DDI-effect
DDI-MedLine.d218.s8.p1	@DRUG$ users had an increased odds ratio of gastrointestinal bleeding upon initiation of citalopram (OR   =   1.73 [95% CI, 1.25-2.38]), @DRUG$ (OR   =   1.63 [95% CI, 1.11-2.38]), paroxetine (OR   =   1.64 [95% CI, 1.27-2.12]), amitriptyline (OR   =   1.47 [95% CI, 1.02-2.11]).	DDI-effect
DDI-MedLine.d179.s0.p0	Synergistic interaction between @DRUG$ and @DRUG$ is sequence dependent in human non-small lung cancer with EGFR TKIs-resistant mutation.	DDI-int
DDI-DrugBank.d766.s3.p9	Based on an in vitro rat liver model, nitrogen substituted imidazole drugs (clotrimazole, ketoconazole, @DRUG$) were potent, non-competitive inhibitors of @DRUG$ metabolism.	DDI-mechanism
DDI-DrugBank.d766.s1.p3	Agents that might be coadministered with @DRUG$ in AIDS patients for other indications that could elicit this activity include erythromycin, rifampin, rifabutin, @DRUG$, and fluconazole.	DDI-effect
DDI-DrugBank.d642.s0.p0	Prothrombin time or other suitable anticoagulation test should be monitored if @DRUG$ is administered with @DRUG$.	DDI-advise
DDI-DrugBank.d640.s3.p11	Use of potassium-sparing diuretics (spironolactone, @DRUG$, amiloride) or potassium supplements concomitantly with @DRUG$ can increase the risk of hyperkalemia.	DDI-effect
DDI-DrugBank.d579.s0.p2	Patients receiving antibiotics and @DRUG$ generally should not be treated with @DRUG$.	DDI-advise
DDI-DrugBank.d648.s3.p0	If @DRUG$ is given concurrently with @DRUG$, prothrombin time should be monitored.	DDI-advise
DDI-DrugBank.d587.s0.p13	Since Celontin (methsuximide) may interact with concurrently administered antiepileptic drugs, periodic serum level determinations of these drugs may be necessary (eg @DRUG$ may increase the plasma concentrations of phenytoin and @DRUG$).	DDI-mechanism
DDI-DrugBank.d603.s2.p13	The use of drugs that stimulate alpha-adrenergic receptors (e.g., phenylephrine, pseudoephedrine, @DRUG$, phenylpropanolamine or dihydroergotamine) may enhance or potentiate the pressor effects of @DRUG$   . Therefore, caution should be used when ProAmatine    is administered concomitantly with agents that cause vasoconstriction.	DDI-effect
DDI-DrugBank.d727.s0.p0	@DRUG$ competitively inhibits the intracellular phosphorylation of @DRUG$.	DDI-effect
DDI-MedLine.d218.s9.p0	Also @DRUG$, which is not believed to interact with @DRUG$, increased the risk of GI bleeding (OR   =   1.75 [95% CI, 1.30-2.35]).	DDI-effect
DDI-MedLine.d227.s8.p0	At the same time, the locomotor inhibitory effect of @DRUG$ was counteracted by @DRUG$.	DDI-effect
DDI-DrugBank.d597.s19.p3	Lithium: In clinical trials, @DRUG$ have produced an elevation of plasma @DRUG$ levels and a reduction in renal lithium clearance.	DDI-mechanism
DDI-DrugBank.d699.s0.p0	@DRUG$ can interact with @DRUG$, antichlolinergic, TCA, MAOIs, and alcohol.	DDI-int
DDI-DrugBank.d659.s2.p0	Concomitant administration of @DRUG$ and @DRUG$-containing drugs leads to increased theophylline levels and theophylline toxicity in some individuals.	DDI-mechanism
DDI-DrugBank.d638.s2.p3	Human pharmacologic studies have shown that @DRUG$ may inhibit the metabolism of coumarin anticoagulants, anticonvulsants (phenobarbital, @DRUG$, primidone), phenylbutazone, and tricyclic drugs (imipramine, clomipramine, desipramine).	DDI-mechanism
DDI-DrugBank.d653.s2.p1	Drugs such as @DRUG$ and ketoconazole may inhibit the metabolism of @DRUG$ and thus decrease their clearance.	DDI-mechanism
DDI-DrugBank.d603.s2.p16	The use of drugs that stimulate alpha-adrenergic receptors (e.g., phenylephrine, pseudoephedrine, ephedrine, @DRUG$ or dihydroergotamine) may enhance or potentiate the pressor effects of @DRUG$   . Therefore, caution should be used when ProAmatine    is administered concomitantly with agents that cause vasoconstriction.	DDI-effect
DDI-DrugBank.d619.s5.p1	One case of hypertensive crisis has been reported in a patient taking the recommended doses of @DRUG$ and a sympathomimetic medication (@DRUG$).	DDI-effect
DDI-DrugBank.d700.s0.p6	Antacids: Absorption of a single dose of @DRUG$ was decreased when administered to 12 stable renal transplant patients also taking magnesium-@DRUG$ containing antacids (30 mL): the mean Cmax and AUC(0-t) values for MPA were 25% and 37% lower, respectively, than when Myfortic was administered alone under fasting conditions.	DDI-mechanism
DDI-DrugBank.d782.s0.p0	@DRUG$ can interact with the drugs of the following categories:  - Blood dyscrasia: can cause unpredictable myelotoxicity - Bone marrow depressants: can cause a predictable dose-related myelotoxicity - Radiation therapy: may cause marrow depression - Neurotoxic medications: can cause neurologic toxicity - @DRUG$: can increase seizure activity - Live virus vaccines: may potentiate the replication of the vaccine virus, may increase the side effects of the vaccination, and decrease patient's response to the vaccine - Mitomycin-C: may cause shortness of breath and bronchospasm - Killed virus vaccines: may decrease patient's response to the vaccine	DDI-int
DDI-DrugBank.d773.s2.p13	Anticoagulants (such as heparin and vitamin K antagonists) and drugs that alter platelet function (such as @DRUG$, dipyridamole, and GP IIb/IIIa inhibitors) may increase the risk of bleeding if administered prior to, during, or after @DRUG$ therapy.	DDI-effect
DDI-DrugBank.d765.s1.p29	For patients receiving ketoconazole or other potent CYP3A4 inhibitors such as other azole antifungals (eg, itraconazole, @DRUG$) or macrolide antibiotics (eg, erythromycin, clarithromycin) or cyclosporine or vinblastine, the recommended dose of @DRUG$ is 2 mg daily.	DDI-advise
DDI-MedLine.d161.s7.p0	The @DRUG$ treatment also had a significant effect on the @DRUG$-induced loss of norepinephrine neurons in the locus coeruleus and adjoining A5 and A7 noradrenaline cell groups.	DDI-effect
DDI-DrugBank.d637.s2.p19	Interaction with Mixed Agonist/Antagonist Opioid Analgesics: Agonist/antagonist analgesics (i.e., pentazocine, nalbuphine, @DRUG$, or buprenorphine) should NOT be administered to patients who have received or are receiving a course of therapy with a proof @DRUG$.	DDI-advise
DDI-DrugBank.d775.s10.p18	Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as @DRUG$ include certain antibiotics (e.g., aminoglycosides, tetracyclines, @DRUG$, polymyxins, lincomycin, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthetics, procainamide, and quinidine.	DDI-int
DDI-DrugBank.d737.s10.p38	Dopamine antagonists: Since pramipexole is a dopamine agonist, it is possible that dopamine antagonists, such as the neuroleptics (@DRUG$, butyrophenones, thioxanthenes) or metoclopramide, may diminish the effectiveness of @DRUG$.	DDI-effect
DDI-DrugBank.d720.s3.p25	Therefore, the use of sumatriptan succinate tablets in patients receiving MAO-A inhibitors is contraindicated . Selective serotonin reuptake inhibitors (@DRUG$) (e.g., fluoxetine, fluvoxamine, paroxetine, sertraline) have been reported, rarely, to cause weakness, hyperreflexia, and incoordination when coadministered with @DRUG$.	DDI-effect
DDI-DrugBank.d775.s2.p0	Evidence of spontaneous recovery from @DRUG$ should be observed before the administration of @DRUG$.	DDI-advise
DDI-MedLine.d231.s8.p2	@DRUG$ and Lomefloxacin reacts faster with sucralfate and @DRUG$ in acidic media whereas with erythromycin in basic media and multi-minerals in neutral media.	DDI-mechanism
DDI-DrugBank.d638.s2.p9	Human pharmacologic studies have shown that @DRUG$ may inhibit the metabolism of coumarin anticoagulants, anticonvulsants (phenobarbital, diphenylhydantoin, primidone), phenylbutazone, and tricyclic drugs (imipramine, clomipramine, @DRUG$).	DDI-mechanism
DDI-DrugBank.d775.s10.p2	Other drugs which may enhance the neuromuscular blocking action of @DRUG$ such as MIVACRON include certain antibiotics (e.g., @DRUG$, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthetics, procainamide, and quinidine.	DDI-int
DDI-DrugBank.d637.s2.p20	Interaction with Mixed Agonist/Antagonist Opioid Analgesics: Agonist/antagonist analgesics (i.e., pentazocine, nalbuphine, butorphanol, or @DRUG$) should NOT be administered to patients who have received or are receiving a course of therapy with a proof @DRUG$.	DDI-advise
DDI-DrugBank.d765.s1.p23	For patients receiving ketoconazole or other potent CYP3A4 inhibitors such as other azole antifungals (eg, @DRUG$, miconazole) or macrolide antibiotics (eg, erythromycin, clarithromycin) or cyclosporine or vinblastine, the recommended dose of @DRUG$ is 2 mg daily.	DDI-advise
DDI-DrugBank.d700.s8.p1	Therefore, do not administer @DRUG$ with cholestyramine or other agents that may interfere with enterohepatic recirculation or drugs that may bind bile acids, for example bile acid sequestrates or oral @DRUG$, because of the potential to reduce the efficacy of Myfortic.	DDI-advise
DDI-DrugBank.d678.s4.p1	@DRUG$ inhibits the glucuronidation of acetaminophen and could possibly potentiate @DRUG$ toxicity.	DDI-effect
DDI-DrugBank.d700.s10.p0	However, in a drug-drug interaction study, mean @DRUG$ AUC was decreased by 15% when coadministered with @DRUG$.	DDI-mechanism
DDI-DrugBank.d689.s0.p2	Vasopressors, particularly @DRUG$, may cause serious cardiac arrhythmias during @DRUG$ anesthesia and therefore should be used only with great caution or not at all.	DDI-effect
DDI-DrugBank.d771.s1.p1	@DRUG$ should be used with care in patients taking other drugs that are capable of causing CNS effects such as sedatives, @DRUG$, or alcohol.	DDI-advise
DDI-DrugBank.d595.s1.p2	norepinephrine and @DRUG$ are incompatible with @DRUG$ solution.	DDI-int
DDI-DrugBank.d737.s6.p18	Other drugs eliminated via renal secretion: Population pharmacokinetic analysis suggests that coadministration of drugs that are secreted by the cationic transport system (e.g., cimetidine, @DRUG$, diltiazem, triamterene, verapamil, quinidine, and quinine) decreases the oral clearance of @DRUG$ by about 20%, while those secreted by the anionic transport system (e.g., cephalosporins, penicillins, indomethacin, hydrochlorothiazide, and chlorpropamide) are likely to have little effect on the oral clearance of pramipexole.	DDI-mechanism
DDI-DrugBank.d638.s2.p1	Human pharmacologic studies have shown that @DRUG$ may inhibit the metabolism of coumarin anticoagulants, @DRUG$ (phenobarbital, diphenylhydantoin, primidone), phenylbutazone, and tricyclic drugs (imipramine, clomipramine, desipramine).	DDI-mechanism
DDI-MedLine.d231.s8.p5	Moxifloxacin and @DRUG$ reacts faster with @DRUG$ and gelusil in acidic media whereas with erythromycin in basic media and multi-minerals in neutral media.	DDI-mechanism
DDI-DrugBank.d585.s0.p10	The following agents may increase certain actions or side effects of @DRUG$: amantadine, antiarrhythmic agents of class I (e.g., quinidine), antihistamines, antipsychotic agents (e.g., phenothiazines), benzodiazepines, MAO inhibitors, narcotic analgesics (e.g., meperidine), @DRUG$ and nitrites, sympathomimetic agents, tricyclic antidepressants, and other drugs having anticholinergic activity.	DDI-effect
DDI-DrugBank.d643.s0.p12	@DRUG$ may interact with the following drugs: aspirin and other NSAIDs (may lower melatonin levels), fluvoxamine (bioavailability of oral melatonin is increased with coadministration), beta blockers (may decrease melatonin levels), fluoxetine (reports of psychotic episodes when coadministered), progestin (coadministration of melatonin with progestin can inhibit ovarian function in women), benzodiazepenes and other sedating drugs (may result in additive sedation and an increased incidence of adverse effects), and @DRUG$ (coadministration of melatonin and corticosteroids may interfere with the efficacy of the corticosteroids).	DDI-int
DDI-DrugBank.d775.s11.p18	The neuromuscular blocking effect of MIVACRON may be enhanced by drugs that reduce plasma cholinesterase activity (e.g., chronically administered oral contraceptives, glucocorticoids, or certain monoamine oxidase inhibitors) or by drugs that irreversibly inhibit plasma cholinesterase . Resistance to the neuromuscular blocking action of nondepolarizing @DRUG$ has been demonstrated in patients chronically administered @DRUG$ or carbamazepine.	DDI-effect
DDI-DrugBank.d742.s7.p2	Alcohol: Concomitant administration of @DRUG$ (equivalent to 60 g) had a minimal effect on plasma levels of @DRUG$ (15 mg) in 6 healthy male subjects.	DDI-mechanism
DDI-DrugBank.d599.s7.p0	These data suggest that @DRUG$ administration may alter the clearance of compounds known to be metabolized by CP450 liver enzymes (e.g., @DRUG$, sex steroids, anticonvulsants, cyclosporin).	DDI-mechanism
DDI-DrugBank.d759.s0.p0	Limited evidence suggests that @DRUG$ may influence the intensity and duration of action of @DRUG$.	DDI-mechanism
DDI-DrugBank.d643.s0.p11	@DRUG$ may interact with the following drugs: aspirin and other NSAIDs (may lower melatonin levels), fluvoxamine (bioavailability of oral melatonin is increased with coadministration), beta blockers (may decrease melatonin levels), fluoxetine (reports of psychotic episodes when coadministered), progestin (coadministration of melatonin with progestin can inhibit ovarian function in women), @DRUG$ and other sedating drugs (may result in additive sedation and an increased incidence of adverse effects), and corticosteroids (coadministration of melatonin and corticosteroids may interfere with the efficacy of the corticosteroids).	DDI-int
DDI-MedLine.d201.s9.p2	CRM197 induced apoptosis, and furthermore, the combination of @DRUG$ plus @DRUG$ enhanced cytotoxicity in a T-ALL cell line.	DDI-effect
