pmid	text	labels
34223287	PORTABLE SINGLE-LEAD ELECTROCARDIOGRAM DEVICE IS ACCURATE FOR QTc EVALUATION IN HOSPITALIZED PATIENTS. BACKGROUND: Many commonly used drugs can prolong the QTc interval (QTc), which can lead to potentially life-threatening arrhythmias. In the current era of COVID-19 pandemic, it is worth mentioning that the disease itself and several drugs used for its treatment have been associated with QTc prolongation. OBJECTIVE: To evaluate the agreement and clinical precision of a portable single-lead ECG device to measure the QTc interval compared to the standard 12-lead ECG. METHODS: In sequential tests, QTc of ECG recordings obtained with the device KardiaMobile (KM-1L) (AliveCor(R)) were compared to QTc obtained with conventional 12-lead ECG. Agreement was evaluated using Bland-Altman plots and the Lin's concordance coefficient. Consistency between the two devices in determining QTc prolongation (QTc >/=470 ms in males, or >/=480 ms in females), was evaluated with kappa statistics. RESULTS: 128 patients with a presumed or confirmed diagnosis of COVID-19 admitted to a University Hospital were included. QTc intervals measured with KM were similar to QTc measured with conventional ECG (442.45+/-40.5 vs. 441.65+/-40.3 ms, p:0.15). Bland-Altman analysis showed no significant difference in QTc values (average difference of -0.797, 95% Limits Of Agreement:-13.179;11.585). Lin's concordance coefficient showed an excellent agreement (0.988, p<0.001). Concordance between the two devices for determining QTc prolongation was excellent (Kappa>0.90). CONCLUSION: ECG recordings obtained with KM-1L allow an accurate QTc interval assessment. Considering its simplicity of use, this approach has advantages over conventional ECG and can provide an alternative for the evaluation of QTc in hospitalized patients, during the current time of pandemic by COVID-19 and beyond.	Diagnosis;Treatment
34222134	A rare case of shingles after COVID-19 vaccine: is it a possible adverse effect? Coronavirus disease 2019 (COVID-19) exhibit mild to moderate symptoms, whereas 15% of COVID-19 cases progress to pneumonia, some associated cutaneous findings are also reported as maculopapular eruptions, morbilliform rashes, urticaria, chickenpox-like lesions, and livedo reticularis. The inactivated COVID-19 vaccines are authorized for use in some countries including Turkey. Here, we report an unusual case of varicella-zoster virus (VZV) reactivation in a 68-year-old male patient who was vaccinated against COVID-19. The patient presented to family medicine clinic with a stinging sensation and pain radiating from the right side of his chest to his back. Physical examination revealed multiple pinheaded vesicular lesions upon an erythematous base occupying an area on his right mammary region and back corresponding to T3-T5 dermatomes. He reported that he got his second dose of COVID-19 vaccine 5 days ago. As COVID 19 decreases the cell-mediated immunity, it could also increase the risk of herpes zoster (HZ). Although the exact reason remains unsolved, vaccine-induced immunomodulation caused by live attenuated vaccines and attenuated alloreactivity caused by inactivated vaccines may be responsible mechanisms for the reactivation of HZ. Epidemiological studies are needed to clarify the possible connection between vaccination and reactivation of herpesvirus infections.	Case Report
34200249	Reversion of Gut Microbiota during the Recovery Phase in Patients with Asymptomatic or Mild COVID-19: Longitudinal Study. Patients with COVID-19 have been reported to experience gastrointestinal symptoms as well as respiratory symptoms, but the effects of COVID-19 on the gut microbiota are poorly understood. We explored gut microbiome profiles associated with the respiratory infection of SARS-CoV-2 during the recovery phase in patients with asymptomatic or mild COVID-19. A longitudinal analysis was performed using the same patients to determine whether the gut microbiota changed after recovery from COVID-19. We applied 16S rRNA amplicon sequencing to analyze two paired fecal samples from 12 patients with asymptomatic or mild COVID-19. Fecal samples were selected at two time points: during SARS-CoV-2 infection (infected state) and after negative conversion of the viral RNA (recovered state). We also compared the microbiome data with those from 36 healthy controls. Microbial evenness of the recovered state was significantly increased compared with the infected state. SARS-CoV-2 infection induced the depletion of Bacteroidetes, while an abundance was observed with a tendency to rapidly reverse in the recovered state. The Firmicutes/Bacteroidetes ratio in the infected state was markedly higher than that in the recovered state. Gut dysbiosis was observed after infection even in patients with asymptomatic or mild COVID-19, while the composition of the gut microbiota was recovered after negative conversion of SARS-CoV-2 RNA. Modifying intestinal microbes in response to COVID-19 might be a useful therapeutic alternative.	Treatment
34207199	"Photobiomodulation Therapy as a Possible New Approach in COVID-19: A Systematic Review. COVID-19 is a viral disease characterized as a pandemic by the World Health Organization in March 2020. Since then, researchers from all over the world have been looking for ways to fight this disease. Many cases of complications arise from insufficient immune responses due to low immunity, with intense release of pro-inflammatory cytokines that can damage the structure of organs such as the lung. Thus, the hypothesis arises that photobiomodulation therapy (PBMT) with the use of a low-level laser (LLLT) may be an ally approach to patients with COVID-19 since it is effective for increasing immunity, helping tissue repair, and reducing pro-inflammatory cytokines. This systematic review was performed with the use of PubMed/MEDLINE, Web of Science, Scopus and Google Scholar databases with the following keywords: ""low-level laser therapy OR photobiomodulation therapy AND COVID-19"". The inclusion criteria were complete articles published from January 2020 to January 2021 in English. The exclusion criteria were other languages, editorials, reviews, brief communications, letters to the editor, comments, conference abstracts, and articles that did not provide the full text. The bibliographic search found 18 articles in the Pubmed/MEDLINE database, 118 articles on the Web of Science, 23 articles on Scopus, and 853 articles on Google Scholar. Ten articles were included for qualitative synthesis, of which four commentary articles discussed the pathogenesis and the effect of PBMT in COVID-19. Two in vitro and lab experiments showed the effect of PBMT on prevention of thrombosis and positive results in wound healing during viral infection, using the intravascular irradiation (ILIB) associated with Phthalomethyl D. Two case reports showed PBMT improved the respiratory indexes, radiological findings, and inflammatory markers in severe COVID-19 patients. One case series reported the clinical improvement after PBMT on 14 acute COVID-19 patients, rehabilitation on 24 patients, and as a preventive treatment on 70 people. One clinical trial of 30 patients with severe COVID-19 who require invasive mechanical ventilation, showed PBMT-static magnetic field was not statistically different from placebo for the length of stay in the Intensive Care Unit, but improved diaphragm muscle function and ventilation and decreased the inflammatory markers. This review suggests that PBMT may have a positive role in treatment of COVID-19. Still, the necessity for more clinical trials remains in this field and there is not sufficient research evidence regarding the effects of PBMT and COVID-19 disease, and there is a large gap."	Treatment
34216513	Performing nasopharyngeal swabs-Guidelines based on an anatomical study. Nasopharyngeal swabs are performed to collect material for diagnosing diseases affecting the respiratory system, such as Covid-19. Yet, no systematic anatomical study defines concrete prerequisites for successfully targeting the nasopharyngeal mucosa. We therefore aim at simulating nasopharyngeal swabs in human body donors to characterize parameters allowing and supporting to enter the nasopharynx with a swab, while avoiding endangering the cribriform plate. With the aid of metal probes and commercial swabs a total of 314 nasopharyngeal swabs in anatomical head/neck specimens stemming from 157 body donors were simulated. Important anatomical parameters were photo-documented and measured. We provide information on angles and distances between prominent anatomical landmarks and particularly important positions the probe occupies during its advancement through the nares to the upper and lower parts of the nasopharynx and cribriform plate. Based on these data we suggest a simple and safe three-step procedure for conducting nasopharyngeal swabs. In addition, we define easily recognizable signals for its correct performance. Evaluations prove that this procedure in all specimens without deformations of the nasal cavity allows the swab to enter the nasopharynx, whereas a widespread used alternative only succeeds in less than 50%. Our data will be the key for the successful collection of nasopharyngeal material for detecting and characterizing pathogens, such as SARS-CoV-2, which have a high affinity to pharyngeal mucosa. They demonstrate that the danger for damaging the cribriform plate or olfactory mucosa with swabs is unlikely, but potentially higher when performing nasal swabs.	Diagnosis;Prevention
34350288	Increased circulating levels of angiotensin-(1-7) in severely ill COVID-19 patients. This letter reports an unexpected increase of the ACE2 product angiotensin-(1-7) and a parallel decrease of its substrate angiotensin II, suggesting a dysregulation of the renin-angiotensin system towards angiotensin-(1-7) formation in #COVID19 patients https://bit.ly/3xFXuTU.	Mechanism
34132990	Seroprevalence of anti-SARS-CoV-2 total antibody is higher in younger Austrian blood donors. PURPOSE: Frequently the infection with coronavirus 2 (SARS-CoV-2) can be asymptomatic or provoke only mild symptoms. These cases often remain unnoticed, so it is difficult to estimate the actual numbers of infections. Aim of this study was to determine the seroprevalence of anti-SARS-CoV-2 total antibody in Austrian blood donors. METHODS: 20,228 blood donors aged between 18 and 72 years resident in four Austrian federal states were screened for anti-SARS-CoV-2 total antibody between 5th of June and 4th of December 2020. To evaluate the impact of sex, age, AB0-blood group and donation period on the anti-SARS-CoV-2 seroprevalence, multiple logistic regression was done. RESULTS: Our data reveal an anti-SARS-CoV-2 seroprevalence of 2.5% overall, significantly depending on the time point of blood donation: after the first Austrian lockdown the seroprevalence was lower compared to the following months, when the rate was constantly rising. While younger blood donors showed significantly higher seroprevalence, no differences were found concerning sex or AB0 blood group. CONCLUSION: Broad testing strategies are required to better determine the number of SARS-CoV-2 infections. Screening blood donors as a representative group for the adult population could be a valid tool to determine the number of recorded and unrecorded cases of SARS-CoV-2 infection.	Diagnosis
34286136	Barriers and facilitators for clinical trial participation of underrepresented and non-underrepresented fibromyalgia patients: A cross-sectional internet survey. Background: There is a need of well-powered randomized clinical trials in fibromyalgia. However, challenges for recruitment are presented. This study aims to describe and assess the perception of barriers and facilitators and the associated factors for the participation of underrepresented and non-underrepresented fibromyalgia patients. Methods: We performed an online survey through REDCap (Research Electronic Data Capture) targeting fibromyalgia patients from April 7 to July 3, 2020 during the COVID-19 stay home mandate and it was restricted to the United States of America. We described and compared the survey characteristics between underrepresented and non-underrepresented participants, and we performed logistic regression models to assess the associated factors with clinical trial participation. Results: In total, 481 completed the survey including 168 underrepresented fibromyalgia patients. Only (1) 11.09 % reported previous participation in clinical trials and the significant perceived barriers were investigator-related (lack of friendliness of research staff and the opportunity to receive the results) and center-related (privacy and confidentiality policies, and the institution's reputation); (2) the participation rate and perceived barriers and facilitators were similar between underrepresented and non-underrepresented patients; and was positively associated with low income, higher age, and clinical trial awareness from their physician; and negatively associated with the perception of investigator-related barriers; and (4) for the underrepresented population, the presence of emotional support. Conclusion: Our findings suggest low rates of participation, regardless of underrepresented population status. Strategies as involving their physician as liaison to increase the awareness of clinical trials, as well as improving patient-researcher communication should be considered in this population.	Prevention
34281181	Antimicrobial Activity of Curcumin in Nanoformulations: A Comprehensive Review. Curcumin (CUR) is a natural substance extracted from turmeric that has antimicrobial properties. Due to its ability to absorb light in the blue spectrum, CUR is also used as a photosensitizer (PS) in antimicrobial Photodynamic Therapy (aPDT). However, CUR is hydrophobic, unstable in solutions, and has low bioavailability, which hinders its clinical use. To circumvent these drawbacks, drug delivery systems (DDSs) have been used. In this review, we summarize the DDSs used to carry CUR and their antimicrobial effect against viruses, bacteria, and fungi, including drug-resistant strains and emergent pathogens such as SARS-CoV-2. The reviewed DDSs include colloidal (micelles, liposomes, nanoemulsions, cyclodextrins, chitosan, and other polymeric nanoparticles), metallic, and mesoporous particles, as well as graphene, quantum dots, and hybrid nanosystems such as films and hydrogels. Free (non-encapsulated) CUR and CUR loaded in DDSs have a broad-spectrum antimicrobial action when used alone or as a PS in aPDT. They also show low cytotoxicity, in vivo biocompatibility, and improved wound healing. Although there are several in vitro and some in vivo investigations describing the nanotechnological aspects and the potential antimicrobial application of CUR-loaded DDSs, clinical trials are not reported and further studies should translate this evidence to the clinical scenarios of infections.	Treatment
34217601	Use of face mask by blood donors during the COVID-19 pandemic: Impact on donor hemoglobin concentration: A bane or a boon. BACKGROUND: COVID-19 virus has caused the world's deadliest pandemic. Early April 2020, the Delhi Government made it compulsory for people to wear face masks while going outdoors to curb disease spread. Prolonged use of surgical masks during the pandemic has been reported to cause many adverse effects. Intermittent hypoxia has been shown to activate erythropoietin (EPO leading to increased hemoglobin mass. AIM: To analyze whether face mask induced intermittent hypoxia has any effect on the hemoglobin levels of healthy blood donors. MATERIALS AND METHODS: We retrospectively analyzed donor data from 1st July 2019-31st December 2020 for hemoglobin distribution across hemoglobin ranges and donor deferral on basis of hemoglobin. Study population was divided into two cohorts Group 1- (1st July 2019-31 st March 2020): before implementation of mandatory face masks Group 2- (1st April 2020-31 st December 2020): after implementation of mandatory face masks RESULTS: Mean Hb of blood donors in Group 2 (15.01 +/- 1.1 g/dl) was higher than Group1 (14.49 +/- 1.15 g/dl), (p < 0.0001). 47.1 % group2 donors had Hb of 16.1-18 g/dl compared to group1 (38.4 %). 52.9 % group 2 donors had Hb between 12.5-15 g/dl compared to 61.6 % Group 1 (p < 0.05). Deferral due to anemia was lesser in group 2 compared to group 1 (p < 0.00001). Group 2 had significantly higher deferral due to high Hb (>18 gm/dl) was than Group 1 (p = 0.0039). CONCLUSION: This study including 19504 blood donors spanning over one and a half year shows that prolonged use of face mask by blood donors may lead to intermittent hypoxia and consequent increase in hemoglobin mass.	Prevention
34204252	First Dose of the BNT162b2 mRNA COVID-19 Vaccine Reduces Symptom Duration and Viral Clearance in Healthcare Workers. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has infected more than one hundred million people since the beginning of the worldwide pandemic. In this study, data from a large hospital in central Italy was used to evaluate the impact of the first dose of the BNT162b2 mRNA vaccine on SARS-CoV-2 infections in terms of the prevalence of symptomatic cases, symptom duration, and viral clearance timing. All vaccinated Healthcare Workers (HCWs) with positive RT-PCR by nasopharyngeal (NP) swabs were divided into two cohorts (positive RT-PCR within day 12 and positive RT-PCR between day 13 and day 21 after first dose administration) and compared for the presence and duration of symptoms and the timing of viral clearance. The same variables were evaluated across HCWs with positive RT-PCR within 6 days after first dose administration and non-vaccinated HCWs with positive RT-PCR between 1 October 2020 and 28 February 2021. Eighteen HCWs tested positive on RT-PCR by NP swab from day 1 to day 12 after the 1st dose administration (incidence rate 6.2 x 10(-4)) and 5 HCWs from day 13 to day 21 (incidence rate 2.3 x 10(-4)). Symptom duration and viral clearance timing are significantly shorter in the cohort of HCWs with positive RT-PCR 12 days after the first dose of the BNT162b2 mRNA vaccine. The administration of the first dose proved effective in reducing presence, symptom duration, and viral clearance even in HCWs vaccinated for less than 6 days. These results could have implications on public health and post-exposure prophylaxis.	Treatment;Diagnosis
34288728	Multicentre post-implementation assessment of the positive-predictive value of SARS-CoV-2 antigen-based point-of-care tests used for asymptomatic screening of continuing care staff. Frequent screening of SARS-CoV-2 among asymptomatic populations using antigen-based point of care tests (APOCT) is occurring globally with limited clinical performance data. The positive predictive value (PPV) of two APOCT used in the asymptomatic screening of SARS-CoV-2 among healthcare workers (HCW) at continuing care (CC) sites across Alberta, Canada was evaluated. Between February 22 and May 2, 2021, CC sites implemented SARS-CoV-2 voluntary screening of their asymptomatic HCW. Onsite testing with Abbott Panbio or BD Veritor occurred on a weekly or twice weekly basis. Positive APOCT were confirmed with a real-time reverse-transcriptase polymerase chain reaction (rRT-PCR) reference method. A total of 71,847 APOCT (17,689 Veritor and 54,158 Panbio) were performed among 369 CC sites. Eighty-seven (0.12%) APOCT were positive, of which 39 (0.05%) confirmed as true positives using rRT-PCR. Use of the Veritor and Panbio resulted in a 76.6% and 30.0% false positive detection, respectively (p<0.001). This corresponded to a 23.4% and 70.0% PPV for the Veritor and Panbio, respectively. Frequent screening of SARS-CoV-2 among asymptomatic HCW in CC, using APOCT, resulted in a very low detection rate and a high detection of false positives. Careful assessment between the risks vs benefits of APOCT programs and prevalence of infection in this population needs to be thoroughly considered before implementation.	Diagnosis;Prevention
34332823	Coronavirus Disease 2019-Induced Thyroiditis. BACKGROUND: Coronavirus Disease 2019 (COVID-19) is a disease that presents with acute respiratory symptoms that are well documented and sequelae that are yet to be fully understood. CASE REPORT: We present the case of a 51-year old woman, recently diagnosed with COVID-19, who presented with symptoms including chest pain, palpitations, difficulty swallowing, and anterior neck discomfort. We ultimately diagnosed her with COVID-19-induced thyroiditis and discharged her on propranolol and nonsteroidal anti-inflammatory medication. WHY SHOULD AN EMERGENCY PHYSICIAN BE AWARE OF THIS?: Thyroiditis can present with symptoms similar to other etiologies like pulmonary embolism. We discuss the process of evaluating and treating thyroiditis. We further discuss the risk of administering iodinated contrast media that could further exacerbate thyroid dysfunction.	Case Report
